ID,Title,OwnIcon,Category,Breadcrumb,AboveFold,Next,Previous,Image,Alt,Caption,FoldHeader1,FoldText1,FoldHeader2,FoldText2,FoldHeader3,FoldText3,Icon1,IconTarget1,IconAlt1,Icon2,IconTarget2,IconAlt2,Icon3,IconTarget3,IconAlt3,Icon4,IconTarget4,IconAlt4
CO2,Higher Atmospheric CO<sub>2</sub>,Higher-Atmospheric-CO2.png,cyan,CO2,"<p>As a greenhouse gas, carbon dioxide (CO<sub>2</sub>) leads to many issues discussed in this course, via <a href=""#"" data-target=""HighTemp"">increased temperatures</a> and <a href=""#"" data-target=""SeaRise"">sea level rise</a>. However, CO<sub>2</sub> also has <em>direct</em> effects on plants that should not be overlooked.</p>","EnvAllergy, NutritionDisease, HighTemp, Wildfire",,,,,Plant Growth,"<p>CO<sub>2</sub> increases the rate of photosynthesis, the method by which plants create energy. Increased CO<sub>2</sub> therefore leads to increased plant growth - but not necessarily to extra nutrition. Just because a stalk of wheat is larger doesn't mean that it carries as much protein, iron, or other important nutrients, especially when measured per pound. This reduced nutritional density can lead to a full belly but a weak immune system, bones, bloodstream, and other <a href=""#"" data-target=""NutritionDisease"">nutritional diseases</a>.</p>",Increased Allergens,"<p>With increased plant growth and longer growing seasons comes an increase in pollen. Allergic rhinitis (also known as hay fever) affects between 10% and 30% of the world's population, causing runny noses, sneezing, itchy eyes, and difficulty breathing. As CO<sub>2</sub> increases the growth and spread of plants, allergy-inducing plants will be affected too, and <a href=""#"" data-target=""EnvAllergy"">allergic reactions</a> should be expected to increase in prevalence and severity.</p>",Links,"<ul><li><a href=""https://www.ucsusa.org/global_warming/science_and_impacts/impacts/climate-and-allergies.html"" target=""_blank"">A Changing Climate Worsens Allergy Symptoms</a>, from the Union of Concerned Scientists</li><li><a href=""https://www.nap.edu/read/1911/chapter/8"" target=""_target"">Effects of Increasing Carbon Dioxide Levels and Climate Change on Plant Growth, Evapotranspiration, and Water Resources</a>, from the proceedings of Managing Water Resources in the West Under Conditions of Climate Uncertainty</li><li>A paper from the Harvard School of Public Health, showing that <a href=""https://ehp.niehs.nih.gov/15-10037/"" target=""_blank"">CO<sub>2</sub> has a direct and negative impact on human cognition and decision-making</a>.</li></ul>",,,,,,,,,,,,
FloodDrought,Floods and Droughts,Floods-_-Droughts.png,cyan,Flood + Drought,"<p>Climate change doesn't just mean heating, it also means changes in the weather. This leads to an increase in the number of droughts in some places, but and the number of floods in others. Areas of drought see increased <a href=""#"" data-target=""Wildfire"">wildfires</a>. Floods can lead to <a href=""#"" data-target=""Salinization"">water salinization</a>. Both of them can create <a href=""#"" data-target=""WaterShort"">water shortages</a>.</p>","Wildfire, Salinization, WaterShort",HighTemp,,,,,,,,,,,,,,,,,,,,,
HighTemp,High Temperatures,Higher-Temperatures.png,cyan,High Temp,"<p>The most central part of climate change is a rise in the world's overall average temperature, driven by <a href=""#"" data-target=""CO2"">CO<sub>2</sub></a> and other greenhouse gases. This effect is spread unevenly across various parts of the world - some areas will become only a little warmer, while others will eventually become unliveably hot. The direct effects are an increase in <a href=""#"" data-target=""Wildfire"">wildfires</a> and <a href=""#"" data-target=""WaterShort"">water shortages</a>, but the indirect effects span the entirety of this course.</p>","Wildfire, WaterShort",CO2,,,,,,,,,,,,,,,,,,,,,
SeaRise,Sea Level Rise,Sea-Level-Rise.png,cyan,Sea Rise,"<p><a href=""#"" data-target=""HighTemp"">Rising temperatures</a> melt polar ice, resulting in an increase in sea levels. This causes <a href=""#"" data-target=""Salinization"">water salinization</a> as sea water creeps into other reservoirs, which results in <a href=""#"" data-target=""WaterShort"">shortages of drinkable water</a>.</p>","Salinization, WaterShort",HighTemp,,,,,,,,,,,,,,,,,,,,,
LowCrop,Low Crop Yields,Lower-Crop-Yields.png,yellow,Crop Yield,"<p>While rising <a href=""#"" data-target=""CO2"">CO<sub>2</sub> levels</a> can result in larger crops, the other effects of climate change combine to make things more difficult and complex. Some regions may need to change to a different kind of crop entirely in order to stay viable. In addition, larger crops aren't necessarily better - they can result in lower nutrition per bite, which can induce <a href=""#"" data-target=""NutritionDisease"">nutritional diseases</a>.</p>",NutritionDisease,"HighTemp, FloodDrought, SeaRise, Wildfire, Salinization, WaterShort, Ozone, Particulate",,,,Causes,"<p>Our crops are vulnerable to a great number of effects, including <a href=""#"" data-target=""HighTemp"">Rising temperatures</a>, <a href=""#"" data-target=""FloodDrought"">floods and droughts</a>, <a href=""#"" data-target=""SeaRise"">sea level rise</a>, <a href=""#"" data-target=""Wildfire"">wildfires</a>, <a href=""#"" data-target=""Salinization"">water salinization</a>, <a href=""#"" data-target=""WaterShort"">water salinization</a>, and even air pollution such as increased <a href=""#"" data-target=""Ozone"">ozone</a> or <a href=""#"" data-target=""Particulate"">particulate matter</a>.</p>",,,,,,,,,,,,,,,,
Migration,Human Migration,Population-Migration.png,yellow,Migration,"<p>Human migration can happen for a number of reasons. Some people will be moving to escape <a href=""#"" data-target=""SeaRise"">sea level rise</a>; others will face severe <a href=""#"" data-target=""WaterShort"">water shortages</a> that will drive them from their homes. This is especially concerning for <a href=""#"" data-target=""MaternalNewborn"">maternal and newborn health</a>, as well creating <a href=""#"" data-target=""MentalDisease"">mental and emotional hardships</a> for those who must migrate.</p>","MentalDisease, MaternalNewborn","FloodDrought, SeaRise, Wildfire, Salinization, WaterShort, LowCrop",,,,,,,,,,,,,,,,,,,,,
Ozone,Ozone,Ozone.png,yellow,Ozone,"<p>Ozone is a protective layer in our upper atmosphere, but also a poisonous greenhouse gas in our lower atmosphere. It can cause <a href=""#"" data-target=""CardioDisease"">heart issues</a> and <a href=""#"" data-target=""RespDisease"">respiratory issues</a>, and can even directly damage plant leaves, causing <a href=""#"" data-target=""LowCrop"">low crop yields</a>.</p>","CardioDisease, RespDisease, LowCrop",HighTemp,,,,,,,,,,,,,,,,,,,,,
Particulate,Particulate Matter Air Pollution,Particulate-Matter-Air-Pollution.png,yellow,Particulate,"<p>Particulate matter is made up of tiny bits of soot and other organic chemicals suspended in the air, often too small to see. Particulate matter directly shortens human lifespans via <a href=""#"" data-target=""RespDisease"">respiratory diseases</a>, but can also affect plants, resulting in <a href=""#"" data-target=""LowCrop"">low crop yields</a> and the resulting <a href=""#"" data-target=""NutritionDisease"">nutritional diseases</a>.</p>","LowCrop, NutritionDisease, RespDisease",Wildfire,,,,,,,,,,,,,,,,,,,,,
Salinization,Freshwater Salinization,Salinization-of-Fresh-Water.png,yellow,Salinization,"<p>Water salinization is when a fresh water source (like a stream or well) is contaminated by salt. This can be caused by <a href=""#"" data-target=""FloodDrought"">floods</a> or <a href=""#"" data-target=""SeaRise"">sea level rise</a>. Salinization can eventually make water undrinkable, but even before then it causes <a href=""#"" data-target=""CardioDisease"">high blood pressure</a>,  <a href=""#"" data-target=""LowCrop"">damage to crops</a>, and <a href=""#"" data-target=""MaternalNewborn"">maternal and newborn health problems</a>, all of which can eventually contribute to <a href=""#"" data-target=""Migration"">migration</a>.</p>","CardioDisease, Migration, LowCrop, MaternalNewborn","FloodDrought, SeaRise",,,,,,,,,,,,,,,,,,,,,
WaterShort,Water Shortages,Water-Shortages.png,yellow,Water Shortage,"<p>Water shortages can obviously come about through <a href=""#"" data-target=""FloodDrought"">droughts</a> caused by <a href=""#"" data-target=""HighTemp"">increased temperatures</a>, but they can also be caused by <a href=""#"" data-target=""SeaRise"">sea level rise</a> and the resulting <a href=""#"" data-target=""Salinization"">salinization</a>. A lack of water means less for <a href=""#"" data-target=""LowCrop"">irrigation</a>, increases the difficult of treating <a href=""#"" data-target=""InfectDisease"">infectious diseases</a>, and can result in significant <a href=""#"" data-target=""MentalDisease"">anxiety, trauma, and other issues.</a> It is a major driver for <a href=""#"" data-target=""Migration"">human migration</a>.</p>","LowCrop, Migration, InfectDisease, MentalDisease","HighTemp, FloodDrought, SeaRise",,,,,,,,,,,,,,,,,,,,,
Wildfire,Wildfires,Wildfires.png,yellow,Wildfire,"<p>With <a href=""#"" data-target=""HighTemp"">increased temperatures</a> and the resulting <a href=""#"" data-target=""FloodDrought"">droughts</a> come an increased risk of wildfires. Wildfires can directly threaten human life, but their secondary effects are more widespread. Fires release <a href=""#"" data-target=""CO2"">carbon dioxide</a> and <a href=""#"" data-target=""Particulate"">particulate matter</a> into the air.</p>","Particulate, CO2","HighTemp, FloodDrought",,,,,,,,,,,,,,,,,,,,,
CardioDisease,Cardiovascular Diseases,Cardiovascular-Diseases.png,red,Cardiovascular,"<p>Cardiovascular diseases include rheumatic conditions, strokes, heart failures, angina, and related issues. They can be made worse by <a href=""#"" data-target=""HighTemp"">increased temperatures</a>, <a href=""#"" data-target=""Ozone"">increased ozone concentrations</a>, <a href=""#"" data-target=""Particulate"">particulate matter</a> air pollution, and <a href=""#"" data-target=""Salinization"">water salinization</a>. The most vulnerable populations are <a href=""#"" data-target=""Elderly"">the elderly</a>, individuals with <a href=""#"" data-target=""Cardio"">existing cardio issues</a>, and those suffering from <a href=""#"" data-target=""Diabetes"">diabetes</a> or <a href=""#"" data-target=""Obese"">obesity</a>. </p>","Elderly, Cardio, Diabetes, Obese","HighTemp, Ozone, Particulate, Salinization",,,,,,,,,,,,,,,,,,,,,
EnvAllergy,Environmental Allergies,Environmental-Allergies.png,red,Allergy,"<p>As <a href=""#"" data-target=""HighTemp"">temperatures</a> and <a href=""#"" data-target=""CO2"">CO<sub>2</sub></a> levels rise plants tend to release more pollen. Those most severely affected are <a href=""#"" data-target=""Children"">children</a> and those with <a href=""#"" data-target=""HasAllergy"">existing allergies</a>.</p>","Children, HasAllergy","HighTemp, CO2",,,,,,,,,,,,,,,,,,,,,
